Volatility_Rank,Code,Name,Predicted_Volatility,Risk_Score,Recommendation
41.0,FTGH,Flame Tree Group Holdings Ltd,3.809200761157442,65.3706031323521,HIGH VOLATILITY RISK
42.0,CABL,East African Cables Plc,3.864580082406926,66.32098087774534,HIGH VOLATILITY RISK
43.0,SMER,Sameer Africa Plc,4.013600836490528,68.8783615947236,HIGH VOLATILITY RISK
44.0,TPSE,TPS Eastern Africa (Serena) Ltd,4.157596738285333,71.34950962265091,HIGH VOLATILITY RISK
45.0,EVRD,Eveready East Africa Ltd,4.263729965740128,73.1708872622466,HIGH VOLATILITY RISK
46.0,LKL,Longhorn Publishers Plc,4.445959084549051,76.29816464974682,HIGH VOLATILITY RISK
47.0,UCHM,Uchumi Supermarket Plc,4.48911407673854,77.03875776743318,HIGH VOLATILITY RISK
48.0,KPLC,Kenya Power and Lighting Company Plc,4.798001072487181,82.33964120149338,HIGH VOLATILITY RISK
49.0,LBTY,Liberty Kenya Holdings Ltd,4.82783702892088,82.85166316867077,HIGH VOLATILITY RISK
50.0,SLAM,Sanlam Kenya Plc,4.979336939928514,85.45158928914583,HIGH VOLATILITY RISK
51.0,PORT,East African Portland Cement Ltd,5.1469946841412595,88.32880384049086,HIGH VOLATILITY RISK
52.0,SCAN,WPP ScanGroup Plc,5.28819680932038,90.75200720132509,HIGH VOLATILITY RISK
53.0,OCH,Olympia Capital Holdings Ltd,5.758108828419342,98.81627948145206,HIGH VOLATILITY RISK
54.0,BAMB,Bamburi Cement Ltd,5.82708523194313,100.0,HIGH VOLATILITY RISK
,DCON,Deacons (East Africa) Plc,0.001819102886202831,0.031218058665605335,LOW LIQUIDITY
,LAPR,Laptrust Imara Income-REIT,0.001819102886202831,0.031218058665605335,LOW LIQUIDITY
,ARM,ARM Cement Plc,0.001819102886202831,0.031218058665605335,LOW LIQUIDITY
,ORCH,Kenya Orchards Ltd,0.001819102886202831,0.031218058665605335,LOW LIQUIDITY
,KPLC-P4,KPLC-P4,0.001819102886202831,0.031218058665605335,LOW LIQUIDITY
,KPLC-P7,KPLC-P7,0.001819102886202831,0.031218058665605335,LOW LIQUIDITY
,MSC,Mumias Sugar Company Ltd,0.001819102886202831,0.031218058665605335,LOW LIQUIDITY
,KQ,Kenya Airways Plc,0.001819102886202831,0.031218058665605335,LOW LIQUIDITY
,HBE,Homeboyz Entertainment Plc,0.001819102886202831,0.031218058665605335,LOW LIQUIDITY
,NBK,National Bank of Kenya Ltd,0.001819102886202831,0.031218058665605335,LOW LIQUIDITY
1.0,LIMT,Limuru Tea Plc,0.6459400886900024,11.085131982437193,LOW VOLATILITY RISK
2.0,BOC,BOC Kenya Plc,0.8333235295501449,14.300863920472645,LOW VOLATILITY RISK
3.0,XPRS,Express Kenya Plc,0.87778977679232,15.063959798981827,LOW VOLATILITY RISK
